FID,FeedTime,CowTag,CurrentCup,MaxCups,CurrentPeriod,MaxPeriods,CupDelay,PeriodDelay,FoodType
1,5/17/24 22:28,000000000840003250681222,5,5,6,6,40,7200,1
1,5/17/24 22:55,000000000840003250681555,1,5,2,6,40,7200,1
1,5/17/24 22:57,000000000840003250681555,2,5,2,6,40,7200,1
1,5/17/24 22:57,000000000840003250681555,3,5,2,6,40,7200,1
1,5/17/24 22:58,000000000840003250681555,4,5,2,6,40,7200,1
1,5/17/24 22:59,000000000840003250681555,5,5,2,6,40,7200,1
1,5/17/24 23:52,000000000840003250681555,1,5,4,6,40,7200,1
1,5/17/24 23:53,000000000840003250681555,2,5,4,6,40,7200,1
1,5/17/24 23:53,000000000840003250681555,3,5,4,6,40,7200,1
1,5/17/24 23:59,000000000840003250681666,1,5,5,6,40,7200,1
1,5/18/24 0:00,000000000840003250681666,1,5,1,6,40,7200,1
1,5/18/24 0:01,000000000840003250681666,2,5,1,6,40,7200,1
1,5/18/24 0:02,000000000840003250681666,3,5,1,6,40,7200,1
1,5/18/24 0:07,000000000840003250681222,1,5,1,6,40,7200,1
1,5/18/24 0:08,000000000840003250681222,2,5,1,6,40,7200,1
1,5/18/24 0:09,000000000840003250681444,1,5,1,6,40,7200,1
1,5/18/24 0:10,000000000840003250681444,2,5,1,6,40,7200,1
1,5/18/24 0:11,000000000840003250681444,3,5,1,6,40,7200,1
1,5/18/24 0:12,000000000840003250681444,4,5,1,6,40,7200,1
1,5/18/24 0:12,000000000840003250681444,5,5,1,6,40,7200,1
1,5/18/24 0:17,000000000840003250681777,1,5,1,6,40,7200,1
1,5/18/24 0:18,000000000840003250681777,2,5,1,6,40,7200,1
1,5/18/24 0:19,000000000840003250681666,4,5,1,6,40,7200,1
1,5/18/24 0:20,000000000840003250681666,5,5,1,6,40,7200,1
1,5/18/24 0:23,000000000840003250681777,3,5,1,6,40,7200,1
1,5/18/24 0:24,000000000840003250681777,4,5,1,6,40,7200,1
1,5/18/24 0:25,000000000840003250681777,5,5,1,6,40,7200,1
1,5/18/24 0:32,000000000840003250681333,1,5,1,6,40,7200,1
1,5/18/24 0:33,000000000840003250681333,2,5,1,6,40,7200,1
1,5/18/24 0:33,000000000840003250681333,3,5,1,6,40,7200,1
1,5/18/24 0:34,000000000840003250681333,4,5,1,6,40,7200,1
1,5/18/24 0:35,000000000840003250681666,1,5,1,6,40,7200,1
1,5/18/24 0:35,000000000840003250681666,2,5,1,6,40,7200,1
1,5/18/24 0:36,000000000840003250681666,3,5,1,6,40,7200,1
1,5/18/24 0:37,000000000840003250681666,4,5,1,6,40,7200,1
1,5/18/24 0:38,000000000840003250681666,5,5,1,6,40,7200,1
1,5/18/24 0:42,000000000840003250681222,1,5,1,6,40,7200,1
1,5/18/24 0:42,000000000840003250681222,2,5,1,6,40,7200,1
1,5/18/24 0:43,000000000840003250681222,3,5,1,6,40,7200,1
1,5/18/24 0:44,000000000840003250681222,4,5,1,6,40,7200,1
1,5/18/24 0:45,000000000840003250681222,5,5,1,6,40,7200,1
1,5/18/24 1:34,000000000840003250681333,5,5,1,6,40,7200,1
1,5/18/24 1:38,000000000840003250681555,1,5,1,6,40,7200,1
1,5/18/24 1:38,000000000840003250681555,2,5,1,6,40,7200,1
1,5/18/24 2:07,000000000840003250681222,3,5,1,6,40,7200,1
